description,latitude,longitude,altitude
"Galliano, Louisiana",29.445857,-90.307745,-1.0
"Gardere, Louisiana",30.358265,-91.134553,12.0
"Garyville, Louisiana",30.065727,-90.634729,1.0
"Georgetown, Louisiana",31.758547,-92.380277,29.0
"Gibsland, Louisiana",32.540236,-93.055298,88.0
"Gilbert, Louisiana",32.051157,-91.657704,24.0
"Gilliam, Louisiana",32.828238,-93.841788,59.0
"Gillis, Louisiana",30.376885,-93.199845,16.0
"Glencoe, Louisiana",29.811226,-91.670377,3.0
"Glenmora, Louisiana",30.973315,-92.582382,39.0
"Gloster, Louisiana",32.190384,-93.804695,69.0
"Golden Meadow, Louisiana",29.387034,-90.274954,0.0
"Goldonna, Louisiana",32.011203,-92.930026,62.0
"Gonzales, Louisiana",30.212739,-90.922402,3.0
"Good Pine, Louisiana",31.69349,-92.162946,67.0
"Grambling, Louisiana",32.526332,-92.708019,96.0
"Gramercy, Louisiana",30.061913,-90.693634,3.0
"Grand Cane, Louisiana",32.083851,-93.80895,93.0
"Grand Coteau, Louisiana",30.420237,-92.04379,24.0
"Grand Isle, Louisiana",29.212857,-90.029115,1.0
"Grand Point, Louisiana",30.047208,-90.750071,2.0
"Gray, Louisiana",29.678003,-90.783138,4.0
"Grayson, Louisiana",32.049173,-92.111571,60.0
"Greensburg, Louisiana",30.82964,-90.669859,71.0
"Greenwood, Louisiana",32.43147,-93.959889,102.0
"Gretna, Louisiana",29.910946,-90.051721,2.0
"Grosse Tete, Louisiana",30.415418,-91.4394,4.0
"Gueydan, Louisiana",30.029017,-92.506985,6.0
"Hackberry, Louisiana",29.964958,-93.410178,-2.0
"Hahnville, Louisiana",29.961289,-90.423964,3.0
"Hall Summit, Louisiana",32.177023,-93.305105,71.0
"Hammond, Louisiana",30.50565,-90.456493,16.0
"Harahan, Louisiana",29.936366,-90.202659,4.0
"Harrisonburg, Louisiana",31.768456,-91.823014,20.0
"Harvey, Louisiana",29.888796,-90.06641,0.0
"Haughton, Louisiana",32.527609,-93.504172,71.0
"Hayes, Louisiana",30.111069,-92.923911,4.0
"Haynesville, Louisiana",32.966337,-93.138141,114.0
"Heflin, Louisiana",32.459066,-93.273075,93.0
"Henderson, Louisiana",30.31781,-91.803708,6.0
"Hessmer, Louisiana",31.053373,-92.121487,27.0
"Hester, Louisiana",30.025982,-90.770238,3.0
"Hodge, Louisiana",32.270019,-92.72968,78.0
"Homer, Louisiana",32.793797,-93.059087,88.0
"Hornbeck, Louisiana",31.326045,-93.395808,116.0
"Hosston, Louisiana",32.88608,-93.882689,61.0
"Houma, Louisiana",29.578681,-90.708023,13.0
"Ida, Louisiana",32.998902,-93.896379,78.0
"Independence, Louisiana",30.636052,-90.505172,26.0
"Inniswold, Louisiana",30.398219,-91.070948,17.0
"Iota, Louisiana",30.326054,-92.495612,10.0
"Iowa, Louisiana",30.241367,-93.013028,10.0
"Jackson, Louisiana",30.83463,-91.208479,60.0
"Jamestown, Louisiana",32.341862,-93.206609,70.0
"Jean Lafitte, Louisiana",29.753403,-90.101568,1.0
"Jeanerette, Louisiana",29.915237,-91.676308,4.0
"Jefferson, Louisiana",29.960355,-90.155912,3.0
"Jena, Louisiana",31.690215,-92.128582,56.0
"Jennings, Louisiana",30.223978,-92.658295,10.0
"Jonesboro, Louisiana",32.233544,-92.710619,73.0
"Jonesville, Louisiana",31.622318,-91.83443,28.0
"Jordan Hill, Louisiana",31.859105,-92.515624,32.0
"Joyce, Louisiana",31.9347,-92.585073,46.0
"Junction City, Louisiana",33.007273,-92.722416,58.0
"Kaplan, Louisiana",30.005959,-92.283876,4.0
"Keachi, Louisiana",32.168,-93.914523,96.0
"Kenner, Louisiana",30.010227,-90.25482,-1.0
"Kentwood, Louisiana",30.933755,-90.515162,75.0
"Kilbourne, Louisiana",32.997184,-91.313905,42.0
"Killian, Louisiana",30.352612,-90.580925,20.0
"Killona, Louisiana",29.996836,-90.484239,2.0
"Kinder, Louisiana",30.483093,-92.851983,16.0
"Kraemer, Louisiana",29.859217,-90.625597,14.0
"Krotz Springs, Louisiana",30.5294,-91.754876,10.0
"Labadieville, Louisiana",29.824616,-90.952554,2.0
"Lacassine, Louisiana",30.233129,-92.920831,8.0
"Lacombe, Louisiana",30.314145,-89.930581,9.0
"Lafayette, Louisiana",30.2056,-92.028058,12.0
"Lafitte, Louisiana",29.710879,-90.096784,0.0
"Lafourche Crossing, Louisiana",29.767458,-90.769686,3.0
"Lake Arthur, Louisiana",30.079967,-92.67741,3.0
"Lake Charles, Louisiana",30.19902,-93.210835,6.0
"Lake Providence, Louisiana",32.801973,-91.175232,35.0
"Lakeshore, Louisiana",32.53487,-92.033806,29.0
"Lakeview, Louisiana",32.523847,-93.829755,64.0
"Laplace, Louisiana",30.072157,-90.477008,2.0
"Larose, Louisiana",29.565196,-90.376167,2.0
"Lawtell, Louisiana",30.512644,-92.183207,21.0
"Lebeau, Louisiana",30.732778,-91.96945,20.0
"Lecompte, Louisiana",31.088156,-92.39987,25.0
"Leesville, Louisiana",31.14112,-93.28423,89.0
"Lemannville, Louisiana",30.100975,-90.928409,5.0
"Leonville, Louisiana",30.461914,-91.983452,8.0
"Lewisburg, Louisiana",30.367567,-90.102032,7.0
"Lillie, Louisiana",32.920012,-92.661297,57.0
"Lisbon, Louisiana",32.789367,-92.867206,101.0
"Livingston, Louisiana",30.495289,-90.746698,12.0
"Livonia, Louisiana",30.562248,-91.550112,8.0
"Lockport, Louisiana",29.644075,-90.531558,5.0
"Lockport Heights, Louisiana",29.658958,-90.550607,-1.0
"Logansport, Louisiana",31.975805,-93.993363,70.0
"Longstreet, Louisiana",32.097976,-93.949851,100.0
"Longville, Louisiana",30.610611,-93.225046,47.0
"Loreauville, Louisiana",30.05885,-91.738831,10.0
"Lucky, Louisiana",32.244082,-93.013336,78.0
"Luling, Louisiana",29.898452,-90.353161,4.0
"Lutcher, Louisiana",30.06305,-90.711681,8.0
"Lydia, Louisiana",29.926286,-91.781258,3.0
"Madisonville, Louisiana",30.398489,-90.166044,0.0
"Mamou, Louisiana",30.634871,-92.417918,22.0
"Mandeville, Louisiana",30.376735,-90.101067,4.0
"Mangham, Louisiana",32.309276,-91.779435,22.0
"Mansfield, Louisiana",32.035341,-93.699665,98.0
"Mansura, Louisiana",31.067324,-92.052825,29.0
"Many, Louisiana",31.566074,-93.477234,87.0
"Maringouin, Louisiana",30.490776,-91.518562,7.0
"Marion, Louisiana",32.897914,-92.240401,56.0
"Marksville, Louisiana",31.125431,-92.065119,26.0
"Marrero, Louisiana",29.885726,-90.113221,3.0
"Marthaville, Louisiana",31.737983,-93.389964,77.0
"Martin, Louisiana",32.099862,-93.219128,70.0
"Mathews, Louisiana",29.682154,-90.5559,2.0
"Maurice, Louisiana",30.104115,-92.12108,7.0
"McNary, Louisiana",30.990436,-92.581458,39.0
"Melville, Louisiana",30.691974,-91.750508,9.0
"Mer Rouge, Louisiana",32.776921,-91.794367,34.0
"Meraux, Louisiana",29.927459,-89.91921,0.0
"Mermentau, Louisiana",30.188007,-92.58381,7.0
"Merrydale, Louisiana",30.499807,-91.108129,23.0
"Merryville, Louisiana",30.755974,-93.525588,32.0
"Metairie, Louisiana",29.997837,-90.177781,1.0
"Midland, Louisiana",30.180455,-92.501474,4.0
"Midway, Louisiana",31.675565,-92.146581,64.0
"Milton, Louisiana",30.11395,-92.069079,7.0
"Minden, Louisiana",32.619146,-93.272754,83.0
"Minorca, Louisiana",31.572989,-91.490688,18.0
"Monroe, Louisiana",32.518986,-92.07718,36.0
"Montegut, Louisiana",29.440619,-90.560803,0.0
"Monterey, Louisiana",31.444332,-91.718679,18.0
"Montgomery, Louisiana",31.667442,-92.887108,52.0
"Monticello, Louisiana",30.488097,-91.044734,15.0
"Montpelier, Louisiana",30.685207,-90.656568,42.0
"Montz, Louisiana",30.024836,-90.460395,6.0
"Moonshine, Louisiana",29.96495,-90.813015,2.0
"Mooringsport, Louisiana",32.679359,-93.960152,83.0
"Moreauville, Louisiana",31.034175,-91.981714,16.0
"Morgan City, Louisiana",29.710332,-91.191542,2.0
"Morganza, Louisiana",30.738125,-91.591594,14.0
"Morrow, Louisiana",30.829385,-92.082036,19.0
"Morse, Louisiana",30.122097,-92.498435,5.0
"Moss Bluff, Louisiana",30.308838,-93.207913,21.0
"Mound, Louisiana",32.331847,-91.024535,25.0
"Mount Lebanon, Louisiana",32.505248,-93.049923,103.0
"Napoleonville, Louisiana",29.938267,-91.026361,7.0
"Natalbany, Louisiana",30.548924,-90.487542,21.0
"Natchez, Louisiana",31.674069,-93.045496,32.0
"Natchitoches, Louisiana",31.734775,-93.100942,34.0
"New Iberia, Louisiana",30.005493,-91.820307,8.0
"New Llano, Louisiana",31.105733,-93.269609,65.0
"New Orleans, Louisiana",30.05342,-89.934502,-1.0
"New Orleans Station, Louisiana",29.827388,-90.024987,0.0
"New Roads, Louisiana",30.695921,-91.453794,9.0
"New Sarpy, Louisiana",29.979168,-90.383494,1.0
"Newellton, Louisiana",32.072601,-91.239269,28.0
"Noble, Louisiana",31.689902,-93.683209,83.0
"Norco, Louisiana",29.998287,-90.404535,2.0
"North Hodge, Louisiana",32.282505,-92.718413,51.0
"North Vacherie, Louisiana",30.007471,-90.711935,3.0
"Norwood, Louisiana",30.973378,-91.110346,92.0
"Oak Grove, Louisiana",32.862421,-91.391173,40.0
"Oak Hills Place, Louisiana",30.370683,-91.087723,14.0
"Oak Ridge, Louisiana",32.624353,-91.773125,29.0
"Oakdale, Louisiana",30.816418,-92.655855,41.0
"Oberlin, Louisiana",30.608097,-92.774982,29.0
"Oil City, Louisiana",32.745752,-93.975098,62.0
"Old Jefferson, Louisiana",30.377548,-91.006,13.0
"Olla, Louisiana",31.898075,-92.240406,47.0
"Opelousas, Louisiana",30.524897,-92.081654,20.0
"Oretta, Louisiana",30.528934,-93.439092,38.0
"Ossun, Louisiana",30.283394,-92.107027,12.0
"Paincourtville, Louisiana",29.988584,-91.055436,4.0
"Palmetto, Louisiana",30.717738,-91.909118,12.0
"Paradis, Louisiana",29.866462,-90.439998,4.0
"Parks, Louisiana",30.217809,-91.827593,9.0
"Patterson, Louisiana",29.690891,-91.309533,1.0
"Paulina, Louisiana",30.036972,-90.722028,2.0
"Pearl River, Louisiana",30.371353,-89.750359,22.0
"Perry, Louisiana",29.953208,-92.152919,3.0
"Pierre Part, Louisiana",29.955356,-91.202843,5.0
"Pine Prairie, Louisiana",30.782025,-92.421989,40.0
"Pineville, Louisiana",31.342926,-92.40893,56.0
"Pioneer, Louisiana",32.738099,-91.438129,39.0
"Pitkin, Louisiana",30.93636,-92.930018,54.0
"Plain Dealing, Louisiana",32.907025,-93.699237,81.0
"Plaquemine, Louisiana",30.283156,-91.243812,9.0
"Plaucheville, Louisiana",30.964692,-91.983655,15.0
"Pleasant Hill, Louisiana",31.815363,-93.5164,90.0
"Pleasure Bend, Louisiana",29.922091,-90.641206,4.0
"Point Place, Louisiana",31.68758,-93.024981,32.0
"Pointe a la Hache, Louisiana",29.573756,-89.780848,-1.0
"Pollock, Louisiana",31.494069,-92.441289,77.0
"Ponchatoula, Louisiana",30.440598,-90.442791,12.0
"Port Allen, Louisiana",30.443835,-91.20741,7.0
"Port Barre, Louisiana",30.555523,-91.955962,11.0
"Port Sulphur, Louisiana",29.504507,-89.721978,0.0
"Port Vincent, Louisiana",30.336352,-90.843602,17.0
"Powhatan, Louisiana",31.873775,-93.203239,38.0
"Poydras, Louisiana",29.859573,-89.887271,4.0
"Prairieville, Louisiana",30.313529,-90.958112,6.0
"Presquille, Louisiana",29.558622,-90.638568,3.0
"Prien, Louisiana",30.15104,-93.274152,4.0
"Prospect, Louisiana",31.446402,-92.496403,60.0
"Provencal, Louisiana",31.654738,-93.200118,55.0
"Quitman, Louisiana",32.353094,-92.72347,73.0
"Raceland, Louisiana",29.723489,-90.629751,1.0
"Rayne, Louisiana",30.240513,-92.267335,12.0
"Rayville, Louisiana",32.470982,-91.757449,30.0
"Red Chute, Louisiana",32.570318,-93.613073,74.0
"Reddell, Louisiana",30.668747,-92.426825,20.0
"Reeves, Louisiana",30.521695,-93.036234,19.0
"Reserve, Louisiana",30.072962,-90.555022,5.0
"Richmond, Louisiana",32.388372,-91.180409,23.0
"Richwood, Louisiana",32.448648,-92.07732,21.0
"Ridgecrest, Louisiana",31.601805,-91.530421,22.0
"Ringgold, Louisiana",32.326545,-93.283599,87.0
"Rio, Louisiana",30.691387,-89.889641,34.0
"River Ridge, Louisiana",29.95861,-90.222046,4.0
"Roanoke, Louisiana",30.235526,-92.748141,11.0
"Robeline, Louisiana",31.689825,-93.303937,51.0
"Rock Hill, Louisiana",31.43903,-92.575935,45.0
"Rodessa, Louisiana",32.973605,-93.997163,72.0
"Romeville, Louisiana",30.068681,-90.827406,1.0
"Rosedale, Louisiana",30.4429,-91.460114,6.0
"Roseland, Louisiana",30.763881,-90.5106,40.0
"Rosepine, Louisiana",30.924461,-93.288479,76.0
"Ruston, Louisiana",32.532986,-92.635327,100.0
"Saline, Louisiana",32.163124,-92.976778,62.0
"Sarepta, Louisiana",32.895017,-93.451462,75.0
"Schriever, Louisiana",29.728672,-90.835398,16.0
"Scott, Louisiana",30.23982,-92.094826,12.0
"Shenandoah, Louisiana",30.402581,-91.003741,14.0
"Shongaloo, Louisiana",32.9403,-93.293215,85.0
"Shreveport, Louisiana",32.466879,-93.792193,69.0
"Sibley, Louisiana",32.542462,-93.293939,63.0
"Sicily Island, Louisiana",31.848832,-91.659358,26.0
"Sikes, Louisiana",32.078981,-92.48627,57.0
"Simmesport, Louisiana",30.98112,-91.814293,13.0
"Simpson, Louisiana",31.264633,-93.016124,104.0
"Simsboro, Louisiana",32.532325,-92.783913,101.0
"Singer, Louisiana",30.651199,-93.41172,44.0
"Siracusaville, Louisiana",29.688022,-91.151052,2.0
"Slaughter, Louisiana",30.727639,-91.136122,46.0
"Slidell, Louisiana",30.288913,-89.782926,4.0
"Sorrel, Louisiana",29.888402,-91.626585,4.0
"Sorrento, Louisiana",30.183623,-90.866567,12.0
"South Mansfield, Louisiana",32.017057,-93.718039,111.0
"South Vacherie, Louisiana",29.940238,-90.687698,2.0
"Spearsville, Louisiana",32.93201,-92.600113,60.0
"Spokane, Louisiana",31.704064,-91.460529,23.0
"Springfield, Louisiana",30.425552,-90.544414,4.0
"Springhill, Louisiana",33.001934,-93.461511,72.0
"St. Francisville, Louisiana",30.784234,-91.376417,42.0
"St. Gabriel, Louisiana",30.255202,-91.100363,8.0
"St. James, Louisiana",30.018643,-90.850881,4.0
"St. Joseph, Louisiana",31.920284,-91.24004,24.0
"St. Martinville, Louisiana",30.127002,-91.831118,9.0
"St. Maurice, Louisiana",31.761274,-92.938907,51.0
"St. Rose, Louisiana",29.963475,-90.307893,7.0
"Stanley, Louisiana",31.956654,-93.904775,85.0
"Starks, Louisiana",30.310462,-93.666698,15.0
"Start, Louisiana",32.491661,-91.867816,22.0
"Sterlington, Louisiana",32.688888,-92.060339,23.0
"Stonewall, Louisiana",32.271272,-93.807388,82.0
"Sugartown, Louisiana",30.842303,-93.009971,47.0
"Sulphur, Louisiana",30.229792,-93.356343,8.0
"Sun, Louisiana",30.652478,-89.910499,24.0
"Sunset, Louisiana",30.405875,-92.062366,14.0
"Supreme, Louisiana",29.861876,-90.992667,4.0
"Swartz, Louisiana",32.580871,-91.986889,30.0
"Taft, Louisiana",29.985128,-90.452429,2.0
"Tallulah, Louisiana",32.406696,-91.1917,28.0
"Tangipahoa, Louisiana",30.875781,-90.51384,59.0
"Terrytown, Louisiana",29.902462,-90.028139,0.0
"Thibodaux, Louisiana",29.794874,-90.814578,6.0
"Tickfaw, Louisiana",30.576939,-90.487126,22.0
"Timberlane, Louisiana",29.876985,-90.029193,0.0
"Triumph, Louisiana",29.339544,-89.48155,0.0
"Trout, Louisiana",31.696724,-92.179709,64.0
"Tullos, Louisiana",31.81735,-92.326714,37.0
"Turkey Creek, Louisiana",30.873238,-92.416982,48.0
"Union, Louisiana",30.086131,-90.888951,4.0
"Urania, Louisiana",31.863373,-92.291275,39.0
"Varnado, Louisiana",30.895301,-89.831865,39.0
"Venice, Louisiana",29.287639,-89.364396,-1.0
"Ventress, Louisiana",30.678922,-91.430525,13.0
"Vidalia, Louisiana",31.566751,-91.440444,21.0
"Vienna, Louisiana",32.609177,-92.64806,67.0
"Vienna Bend, Louisiana",31.739651,-93.034627,34.0
"Village St. George, Louisiana",30.359799,-91.067205,13.0
"Ville Platte, Louisiana",30.689858,-92.274165,23.0
"Vinton, Louisiana",30.195435,-93.582246,7.0
"Violet, Louisiana",29.896744,-89.892881,4.0
"Vivian, Louisiana",32.871072,-93.986249,78.0
"Waggaman, Louisiana",29.937754,-90.231218,2.0
"Walker, Louisiana",30.486375,-90.865623,20.0
"Wallace, Louisiana",30.024587,-90.658997,2.0
"Wallace Ridge, Louisiana",31.68406,-91.828708,20.0
"Washington, Louisiana",30.615559,-92.059866,21.0
"Waterproof, Louisiana",31.807159,-91.386146,20.0
"Watson, Louisiana",30.5749,-90.950797,35.0
"Welcome, Louisiana",30.044277,-90.883526,3.0
"Welsh, Louisiana",30.235589,-92.812387,9.0
"West Monroe, Louisiana",32.51234,-92.15107,27.0
"Westlake, Louisiana",30.260994,-93.263496,8.0
"Westminster, Louisiana",30.407648,-91.089997,15.0
"Westwego, Louisiana",29.905363,-90.143545,1.0
"White Castle, Louisiana",30.161694,-91.148535,6.0
"Wilson, Louisiana",30.925561,-91.105287,91.0
"Winnfield, Louisiana",31.923969,-92.642475,45.0
"Winnsboro, Louisiana",32.16469,-91.720647,24.0
"Wisner, Louisiana",31.980428,-91.65509,23.0
"Woodmere, Louisiana",29.838725,-90.077427,5.0
"Woodworth, Louisiana",31.173893,-92.520418,50.0
"Youngsville, Louisiana",30.095751,-91.996506,11.0
"Zachary, Louisiana",30.664377,-91.165778,31.0
"Zwolle, Louisiana",31.639433,-93.641138,79.0
